1043.0{47, -48, 14, -44, -105, 20, 117, 90, 72, -59, -73, 72, 106, 86, 37, 83, -69, -54, 53, 106, -7, -43, 9, 107, 111, 87, -8, -90, -55, -72, -44, -39, -82, -56, 94, 120}
944.0{82, -103, -84, 37, -97, -10, -43, 117, 100, -56, -69, 17, 83, 108, 0, 122, -28, -98, -58, 13, -15, -51, 37, 48, 107, 76, 36, -66, -36, -104, -87, -75, -101, -56, 100, 40}
925.0{113, -121, -126, -39, -105, -33, 105, 91, -65, -30, 56, 62, 53, 25, 27, 51, -77, -86, -48, 41, -115, 32, 43, 108, 66, 98, 9, 51, 11, -52, -26, -81, -51, -82, 85, 107}
925.0{111, -88, -35, 20, -109, 43, 58, 68, 46, -4, -93, 65, 83, 62, -16, -69, -54, -112, -63, -6, -83, 2, 38, 92, 104, 121, 15, -3, 82, -115, -39, -32, -44, -40, 85, 124}
898.0{2, -103, 115, 17, -61, 70, 54, 105, 94, -113, -14, 62, 120, 20, 126, 38, -66, -47, -38, -65, 38, -44, -11, 111, 39, 104, 66, 32, -68, -91, -71, 11, -32, -50, 79, 122}
895.0{93, -108, -37, 118, -60, 78, 55, 43, -113, 69, 11, -26, 87, -17, -77, -113, -63, -89, 42, 99, 38, -91, -64, 52, 125, 116, 54, 32, -45, -36, -58, -66, -54, -53, 91, 116}
883.0{102, -103, -65, 92, -80, -13, -105, 113, 35, -127, -24, 80, 114, 66, -3, -57, -109, -97, -15, -38, -36, -48, 49, 52, 90, 55, 123, 96, 3, -26, -99, 80, -4, 59, 63, 127}
882.0{-55, -123, -95, -86, -89, 45, -75, 105, 111, -22, -47, 30, 122, 43, -9, 26, -64, -55, -13, 95, -15, -29, -8, 106, 78, 63, -49, 93, 49, -60, -28, 39, -35, -106, 47, 127}
850.0{-113, -33, 27, -12, -123, -13, 45, 69, -13, -36, -20, 49, 115, 78, -69, 53, -2, -65, -15, -10, -67, -1, 12, 114, 93, 94, 0, 104, 62, -56, -89, -80, -90, -23, 109, 80}
848.0{77, -77, -91, 114, -106, 10, 118, 92, 93, 64, -118, -57, 96, -70, -115, -52, -70, -99, -23, 106, 46, -14, 2, 127, 96, 117, 43, 40, -26, -78, -60, -34, -112, -34, 86, 117}
846.0{13, -108, -6, -118, -104, 97, 125, 111, 106, 9, -39, 18, 97, 0, -72, 94, -44, -104, 5, 126, -94, -79, -2, 108, 75, 96, 66, 72, 13, -107, -57, -54, -85, -66, 74, 97}
846.0{-7, -110, -76, 91, -115, -30, 74, 84, -42, 34, 25, -62, 100, -127, -122, -98, -20, -92, -63, 3, -10, -74, 22, 120, 55, 93, 119, 22, -6, -30, -18, -97, -41, 8, 75, 106}
836.0{-85, -95, -23, -67, -119, -120, 41, 4, 32, -56, -98, 92, 127, 50, -103, 42, -13, -115, -62, 124, -71, -112, -1, 58, 112, 33, 29, 31, -11, -60, -91, -43, -48, -107, 111, 80}
802.0{90, -98, -41, 83, -115, 55, -32, 111, -8, 23, -13, 6, 106, 63, 59, -14, -26, -109, -90, -45, -30, 41, 9, 100, -42, 85, 61, 109, -20, -71, 28, 32, -94, 53, 73, 119}
782.0{88, -65, 51, 5, 97, -112, 94, -4, 78, 20, 79, 94, 59, -42, -81, 94, -103, -74, 7, 127, -10, 104, 24, -13, 71, 72, 78, 37, 66, -102, -92, -43, -50, -17, 70, 100}
755.0{-8, -10, -6, -57, -123, -76, 21, -5, -59, -42, -15, 97, 123, 92, 62, -32, -98, -82, 33, 39, 39, 65, -58, 85, 59, 121, -26, -33, -57, -107, -119, 39, -99, -77, 108, 120}
750.0{-38, -29, 48, -66, -85, 82, -5, 27, 6, 1, -25, -17, 121, -124, 113, 4, -95, -107, 1, 124, 118, -120, -50, 101, 124, 37, 57, 113, 66, -35, -115, 11, -17, -15, 110, 112}
734.0{67, -113, 118, -125, -95, -8, 94, -2, -23, 100, -30, 109, 51, -82, 18, 89, -122, -125, 45, 56, -59, -63, 81, 96, 97, 52, 60, -10, -66, -76, -54, -55, -44, 56, 112, 125}
722.0{60, -98, 95, -27, 22, -125, -101, -69, -128, 60, -113, 99, 87, -99, -125, -83, -96, -126, 32, 125, 86, -19, -21, 110, 55, 73, 119, 123, 73, -81, -102, -23, -57, -5, 38, 29}
712.0{-68, -29, -81, -52, 93, -81, 110, -6, 48, 119, -57, 19, 50, -115, -76, 61, -71, -101, 111, 44, 113, -35, 10, -30, 125, 68, 40, 31, -34, -71, -42, 116, -48, -71, 56, 32}
