1761.0{-66, -79, -51, -105, -86, -106, 102, 41, 79, -26, -78, 28, 90, -98, -15, 50, -92, -89, 19, 38, 17, -61, -8, 59, 109, 88, -64, -46, -29, -82, -83, -26, -60, -45, 62, 113}
1702.0{106, 78, 26, -118, -82, 12, 101, 70, 83, 57, -126, 29, 124, -128, -54, 116, -74, -60, 24, 83, 27, -34, -29, 67, 106, 118, -23, 5, -54, -116, -51, -2, -66, -40, 72, 124}
1633.0{-44, -110, -118, 46, -111, -57, 85, -94, -61, 121, -16, 85, -59, -106, -57, 77, -97, -108, -29, 53, 67, -89, -17, 43, 125, 28, -9, -23, 22, -86, -8, -21, -49, -101, 48, 125}
1578.0{47, -110, 124, 66, -121, -49, 122, 112, 47, -83, 1, 11, -40, -121, -40, 75, -86, -126, 39, 37, 65, -20, -33, 117, 100, 78, -19, -34, -23, -104, -32, 1, -44, 5, 51, 114}
1546.0{32, -28, 63, -87, -107, -82, 24, -3, 53, 46, -81, -9, 116, -122, -53, 23, -109, -125, -13, -21, 109, -65, -63, 46, 126, 87, -47, -38, -63, -117, -60, -25, -80, -111, 79, 123}
1520.0{100, -59, -10, 16, -123, -66, 63, -20, -11, 81, -39, 63, 117, -99, -57, 24, -109, -76, -79, 57, 53, -29, -31, 28, 117, 14, 1, -3, -34, -124, -52, -76, -35, -22, 61, 101}
1463.0{-97, -85, -14, -125, -124, -65, 85, 91, 51, 12, -87, 36, 125, -119, -12, -30, -67, -22, 10, 59, 95, 19, -73, 66, 72, 67, 33, 49, 45, -80, -56, -67, -60, -21, 48, 108}
1430.0{7, -83, 11, 20, -125, 123, 58, 52, 109, 0, -66, 25, 64, -127, -32, 39, -89, -101, 22, 40, 110, 55, -94, 56, 112, 105, 110, 25, 42, -127, -92, -16, -82, 16, 74, 113}
1298.0{46, -127, 14, -38, -87, -103, -18, -53, 48, 19, -124, 98, 47, -88, -101, 4, -124, -122, 46, 56, 68, -27, -90, 80, 116, 122, 118, 39, -31, -119, -78, 29, -80, 16, 35, 100}
1167.0{87, 72, 98, 48, -125, -19, 13, 25, 48, 119, -87, 49, 85, -19, -121, -56, -124, -106, 61, 115, 118, -117, -94, 109, 100, 85, 6, -52, -21, -98, -49, -51, 10, -48, 54, 107}
