330.0{104, 42, 23, 120, 81, -106, -50, -47, -57, -16, 65, -109, 20, 120, 126, 46, 113, 4, 35, 54, -100, -69, 88, -91, 26, -28, -39, 96, -13, 103, -20, 2, -104, 124, 45, 65}
285.0{98, 68, 75, -7, -10, 6, 127, 12, 110, -88, 121, 25, -96, 103, 18, -13, -108, 77, 105, 88, -8, -25, 108, 59, -8, 111, 9, 91, -6, -59, 46, 106, 24, 23, -1, 122}
281.0{27, 118, 26, 70, -104, -99, 121, -2, 52, -78, 113, 16, 73, -2, -113, -9, 46, -40, 52, 24, -39, -103, 123, -108, 96, 100, 97, 84, 47, -29, -109, 13, -12, -23, 76, 96}
224.0{32, -123, 126, 80, -45, 51, -73, -22, -77, -65, 25, -107, -37, 112, -80, -37, 18, -101, 68, -24, 43, 119, 126, -15, 34, 117, -9, -107, -103, -61, -66, -74, -110, -40, 84, 86}
222.0{89, -57, 32, -74, 4, -85, 120, 121, 10, 61, 73, -23, 113, 79, -41, -9, -102, -71, -13, -58, 3, -118, 91, 25, 109, 45, 18, 51, -119, 82, -64, -63, -75, -5, 36, 73}
209.0{-80, -105, -117, 126, -33, -63, 62, -17, 23, 8, 73, -122, 114, -42, 33, -73, -128, -84, 127, 72, 95, -35, 48, 42, 32, 53, 77, -30, 55, -86, -6, -42, -97, -40, 81, 74}
194.0{-44, -127, -82, 88, 18, -10, 123, 33, 49, -11, 86, 6, 39, 24, 54, -96, -75, -126, -109, -61, 15, -56, 101, -105, -14, 15, 29, -49, 44, -121, 75, 63, 121, 36, 108, -77}
192.0{-45, -4, 47, 71, -69, -70, 28, 38, 67, 94, 110, -70, -49, 14, 60, -70, -14, -87, -106, -51, -19, -34, 127, -53, 81, 76, -50, 97, 50, -74, 91, 79, 52, -18, 0, 76}
166.0{-33, 14, 124, 86, 110, -15, 59, 34, 86, -81, 89, 41, -128, 61, 124, -54, 32, 37, -122, -14, 0, 107, 122, -4, 64, 53, 8, 92, 56, -21, 107, 51, 95, 60, -22, 63}
105.0{107, -7, -78, 10, -33, -43, 77, 93, -6, -107, 6, -2, 40, 72, -88, 101, -54, 33, 9, 64, -7, 88, 104, 66, 118, 64, -120, 68, 46, 56, -95, 88, 72, -70, 96, 93}
