1659.0{-103, -104, -99, -81, -94, -58, 21, -49, 85, 42, -104, 79, 125, -8, -14, 74, -120, -66, -8, 25, 74, 24, -73, 47, 99, 104, -28, -5, -20, -120, -113, -5, -75, 2, 74, 126}
1636.0{22, -35, 56, -99, -118, -13, 50, -74, 25, 75, -76, 32, -99, -75, -16, 98, -109, -19, 38, 80, 127, 119, -118, 27, 89, 105, 11, -15, -64, -109, -107, -56, -106, -70, 122, 108}
1564.0{85, -106, -44, -86, -55, -54, 120, -58, 85, 56, -98, -7, 62, -97, -44, -9, -113, -97, 43, 36, 11, -78, -20, 113, 109, 51, -71, -67, -103, -115, -65, -81, -62, -87, 93, 72}
1377.0{70, -78, -87, 87, -61, 47, 85, 93, 120, -53, -48, 50, 80, -71, -58, -53, -87, -110, -40, -7, -6, -56, 22, 16, 104, 93, -18, 1, -4, -79, -22, -38, -23, -3, 49, 123}
1327.0{-1, -58, 125, -3, -27, -92, 80, 10, 117, 64, -75, 64, 61, -100, -78, 43, -25, -92, 106, 21, 99, -43, -69, 75, 118, 101, -22, -37, -19, -79, -39, -1, -43, -1, 57, 118}
1322.0{82, -81, 35, 103, -128, 77, 18, 72, 21, -60, -20, -26, 117, -7, -112, -39, -106, -50, 64, 27, 77, 52, -114, 78, 69, 125, -35, -58, -83, -121, -103, 25, -66, -12, 89, 103}
1322.0{7, -92, -39, 16, -125, 62, 22, 38, 88, -68, -126, 54, 80, -87, -95, 51, -121, -98, 62, 88, 80, -29, -32, 121, 98, 103, 31, -75, -23, -92, -66, 42, -47, -66, 55, 99}
1223.0{-34, -112, 1, -77, -109, -6, 41, -6, -10, -43, -37, 22, 83, -124, -67, -24, -123, -112, -7, 29, 58, -30, -20, 23, 79, 109, 89, 28, 37, -45, 8, 83, -23, 79, 3, 120}
1186.0{88, -75, 87, -84, -122, 69, 20, 114, 106, -120, -1, 88, 122, -25, -18, 8, -102, -49, -77, -11, -83, -102, 63, 117, 118, 64, -14, 4, 9, -39, -51, -12, 0, -69, 68, 97}
966.0{-31, -51, 30, -78, -95, -54, 75, -8, -77, -119, 118, 54, 38, 17, 99, 77, -108, -127, -92, 105, 44, 12, 87, 106, 85, -19, -42, -60, -97, -89, -109, -90, -50, -68, 97, 87}
