1435.0{-9, -112, -38, -111, -90, -52, -7, -7, 39, -14, -37, 26, 90, -114, -75, 43, -119, -123, -86, 17, 52, -125, 11, 76, 76, 81, -55, -28, -10, -123, -66, -81, -104, -28, 84, 122}
1426.0{39, -74, 19, 47, -95, -17, 40, 104, -42, -103, -37, 50, 121, -71, -93, 62, -87, -89, -41, -14, -91, -46, 60, 62, 89, 126, 12, 116, -23, -23, -19, -11, -20, -28, 33, 113}
1413.0{54, -65, -101, -74, -83, -37, -25, 52, 81, -28, -35, 7, 61, -124, 14, 40, -59, -114, -16, 47, 120, -70, -89, 110, 120, 70, -3, -13, 39, -95, -84, -61, -100, -26, 91, 117}
1388.0{-29, -95, 101, 117, -113, -101, 1, 91, 75, -73, -77, 46, 81, -102, 1, 15, -103, -126, -70, -42, -97, -102, 51, 118, 124, 53, 72, -99, -7, -122, -85, -102, -79, -120, 123, 95}
1360.0{113, -89, 26, -30, -51, 29, 6, 55, 84, -20, -77, -12, 106, 40, 108, 121, -38, -127, -113, 97, 10, -26, -24, 103, 123, 44, 116, 67, 44, -85, -17, -18, -83, 44, 67, 126}
1313.0{-115, -86, 18, 10, -111, -125, -69, 37, 10, -12, -117, 80, 124, -49, -71, -99, 8, -40, 71, 114, 110, 72, -71, 54, 120, 71, 9, 120, -28, -128, -54, 19, -85, 97, 82, 127}
1310.0{-102, -128, -61, 69, -87, -83, -86, 116, 110, 13, -105, -11, 62, 3, -124, -40, -9, -86, 126, 82, 100, 73, -128, 98, 122, 27, -7, -17, -33, -121, -79, -46, -60, -59, 71, 123}
1299.0{31, -25, 102, 5, -48, -114, 6, 31, 72, -113, -24, 88, 86, -38, -97, 78, -39, -96, -103, 49, 12, -93, 48, 104, 101, 81, 77, 90, 6, -44, -38, -59, -13, -35, 51, 105}
1294.0{104, -22, -58, 25, -1, -123, -126, -104, 18, 120, -115, 58, 86, 41, -88, 12, -127, -112, 5, 123, 106, -37, -70, 64, 116, -4, 7, 80, -77, -113, -105, -11, -86, -59, 80, 101}
1224.0{-18, -23, -58, 125, -93, -48, 85, 79, 51, 75, -91, 44, 93, 5, -79, -124, -111, -71, 80, 93, 66, -7, -68, 26, 125, 114, -32, 68, -37, -79, -57, -6, -81, -15, 67, 66}
