1428.0{-17, -78, -102, -12, -125, -125, 86, 58, 120, 113, -126, 69, 21, -63, -41, 26, -94, -74, -17, 73, 61, -28, -57, 66, 112, 32, 39, -15, -62, -113, -83, -65, -118, 31, 80, 107}
1385.0{114, -85, 115, 9, 29, -74, 122, 60, 90, -126, -122, 80, 122, -98, -84, -2, -114, -85, 1, 13, 80, 14, -67, 71, 114, 75, -23, 104, 83, -110, -54, -54, -42, -12, 50, 115}
1339.0{68, -61, -86, -19, -76, -19, 77, 68, 10, -60, -26, 66, 108, -119, -27, 1, -91, -86, 55, 126, 127, 26, -95, 46, 120, 91, -6, 32, -21, -20, -9, 14, -28, -27, 15, 121}
1336.0{122, -93, -62, -117, -44, -63, 45, 92, 95, 34, -87, 31, 118, -127, -49, 72, -120, -57, 102, 100, 58, 47, -100, 66, 118, 102, -7, 10, 8, -119, -31, 41, -19, -17, 40, 111}
1328.0{-98, -127, -10, -81, -83, 70, 82, 108, 88, 26, -93, 17, 124, -59, -59, 1, -79, -122, 18, 78, 25, -21, -49, 126, 123, 101, 93, -7, 5, -65, -11, 21, -66, 103, 22, 107}
1304.0{-68, -108, 125, -128, -73, -15, 118, 86, 21, -28, -77, 33, 126, -83, -26, -29, -96, -112, 93, 120, 28, 34, -99, 98, 121, 75, 64, 106, -16, -112, -109, -2, -34, 91, 90, 119}
1212.0{39, -101, -35, 41, -4, -84, -35, -25, 51, -86, -16, 51, 120, -34, -17, 20, -116, -124, 82, 104, 40, -12, -20, 114, 85, 62, -31, 12, -57, -85, -112, 0, -39, -54, 56, 118}
1107.0{-20, -12, -27, -15, -85, -6, 116, 116, 73, -64, -79, 99, 12, -53, -128, 19, -81, -104, 58, 53, 7, -65, -18, 92, 105, 105, 99, -48, -101, -112, -115, -75, -110, 3, 85, 96}
1100.0{113, -92, 20, -50, -49, -41, 114, -30, 83, 60, -125, 6, 104, -98, -24, 48, -101, -54, 10, 33, 18, 14, -26, 81, 102, 113, 64, -8, -28, -67, 40, -28, -57, 28, 21, 125}
1060.0{95, -52, -50, -85, -123, 78, 56, 87, 5, -27, -42, 109, 79, 88, 82, -46, -87, -76, -26, -29, -31, 5, 29, 106, 122, 105, 18, -95, -23, -92, -86, -5, -105, -128, 110, 119}
