983.0{16, -90, 108, -12, -108, -75, -45, 83, 31, -108, 44, 112, 127, -100, -81, 101, -53, -91, -30, 86, 125, 14, -63, 110, 26, 88, 93, -16, -25, -50, -41, -5, -83, 17, 57, 116}
921.0{-46, 54, -69, -109, -91, -2, 83, 58, 97, 33, -58, 116, 62, -91, -115, 29, -64, -118, 64, 77, 103, 1, -127, 93, 63, 24, -14, 108, -32, -38, -110, 30, -114, -111, 78, 98}
864.0{-33, -106, -52, -13, -120, -119, -36, -84, 1, -11, -38, -24, 111, -56, 65, -5, -109, -89, 29, 82, 126, -16, -89, 70, 82, 55, 52, 43, 3, -42, -74, 33, -7, -10, 48, 98}
826.0{102, 46, -65, -31, 22, 44, 82, -90, 26, 70, -119, -120, -76, -40, 0, 31, -32, 88, 45, 53, -40, -60, 113, -126, 94, 83, 95, 33, 7, -87, -19, -114, -118, -20, 58, 118}
804.0{125, -71, 13, -111, -97, 87, 94, 29, 46, 109, -69, -64, 52, -3, -75, 119, 66, -35, -100, 11, 36, -105, -60, 9, 46, 49, 25, 62, 22, -91, -38, -97, -79, -11, 51, 118}
795.0{-84, -37, -97, 68, -128, 97, -52, -5, -29, -41, -91, -30, 71, 105, 114, -98, -115, -97, -61, -89, -116, 5, -123, -6, 91, 99, 81, -14, -101, -115, -112, -59, -75, -68, 91, 121}
752.0{-120, -102, 62, -35, -52, 40, 0, 6, -62, 83, -85, -62, 44, -107, 102, 13, 47, -58, 0, -44, -115, 107, 92, -97, 121, 111, 44, 83, 38, -35, 18, -73, -91, -4, 24, 97}
706.0{-11, -21, 51, 62, -84, 5, 126, -19, -58, 75, -72, 53, 83, -100, -99, 120, 26, 9, 109, -78, 123, 11, -113, 49, -75, 82, 100, 45, 59, -78, -68, -32, -52, 58, 30, 120}
680.0{104, -60, 64, 113, 3, -123, 38, 52, -15, -62, -59, -88, 57, -64, 95, -121, -20, 118, -36, -90, 90, 84, -41, -66, 41, 72, 116, -25, -35, -112, -87, 89, -26, -84, 50, 120}
634.0{-4, -78, -53, -43, 37, 61, 117, -103, -112, 98, -111, 43, 1, -61, -6, 27, -4, -110, 59, -126, -77, -127, -46, 38, 80, 82, 14, 3, 118, -81, 72, 46, -3, -13, 14, 71}
630.0{8, 120, 15, 8, -122, 114, -58, -81, -124, 98, -10, -96, 27, -18, -20, -45, -126, 27, 52, 63, -120, 108, -16, 70, 114, 124, 102, -35, 66, -123, 10, 116, -112, -94, 48, 124}
